Gender,Age_Group,Income_Level,Shop_Frequency,Product_Type,Salary,Monthly_Purchase
1,1,3,1,4,73247,0
2,3,3,3,6,79965,10
2,2,2,3,3,45093,11
2,3,2,2,4,40471,5
2,2,2,3,4,33832,12
2,3,2,2,4,55145,5
1,2,2,3,4,34673,9
1,2,2,3,4,51616,11
1,2,2,3,3,56871,10
1,2,3,2,7,97897,5
1,1,3,1,5,77593,0
1,1,3,1,5,84965,1
2,3,3,3,7,82346,14
2,2,1,2,3,29435,5
1,1,1,1,2,25562,0
2,3,3,3,6,66216,10
1,1,1,1,1,23679,0
2,2,2,3,1,50156,11
1,1,1,1,1,27964,0
2,2,1,2,3,15851,4
2,3,2,2,4,45922,5
1,1,3,1,3,67478,0
2,2,1,2,3,23266,5
1,1,3,1,5,62034,1
1,2,2,3,4,33595,10
1,1,1,1,1,21692,1
2,1,1,1,1,27623,0
2,1,1,1,1,13761,0
2,1,1,1,1,22285,1
2,2,2,3,3,35308,7
1,1,3,1,5,70087,1
2,1,1,1,2,23503,0
2,2,1,2,4,14612,3
2,2,1,2,5,21314,4
2,3,3,3,7,90246,14
2,1,1,1,2,24598,0
1,2,2,3,3,53376,7
1,2,3,2,6,96949,3
2,1,1,1,1,14283,0
2,3,3,3,5,62296,11
2,1,1,1,1,26034,0
1,2,3,2,6,95980,3
1,1,1,1,2,12261,0
1,3,2,2,6,36559,3
2,3,2,2,2,38329,4
1,1,3,1,5,91099,1
2,2,1,2,5,16360,5
1,1,1,1,1,24396,0
1,2,3,2,7,84214,4
2,2,1,2,3,18400,5
1,2,3,2,7,97659,5
1,2,3,2,6,80641,3
2,1,1,1,2,25801,0
1,2,2,3,1,44403,9
1,3,2,2,2,55635,4
1,2,3,2,7,64681,5
2,3,3,3,5,62807,7
1,1,1,1,2,24159,1
1,2,2,3,3,38285,13
1,2,2,3,3,43637,14
1,2,3,2,7,64579,4
1,2,3,2,7,84762,4
1,2,2,3,4,53448,9
1,2,3,2,6,66413,4
2,3,2,2,4,48987,5
2,3,2,2,2,48748,4
1,2,2,3,4,55002,13
1,2,3,2,6,75834,3
1,2,3,2,7,71353,4
1,1,3,1,4,73379,0
1,1,1,1,1,16986,0
1,3,2,2,4,30334,3
2,3,3,3,5,83414,12
1,1,3,1,3,87189,0
2,3,3,3,5,75688,9
2,1,1,1,2,23052,1
1,2,3,2,6,97621,3
